ChpVrsNdx,NumWrd,nPilcrow,PText,RText,TText
1036,40,0,"","","Tw wt, w w w, w w w, w w w Tw wt w w w w w w w, w w w w w w w w w w w w w Twt w w w w w w;"
1037,28,0,"","","w w w w w w w w; w w w w w w w, w w w w w w w w w Twt w w w."
1038,11,0,"","","w w w w, w w w w w w w;"
1039,7,0,"","","w w, w w w w w."
1040,30,0,"","","w w w, w w w, w w w, w w w w, w w w w w w w w w w w w w Dwd w w w."
1041,18,0,"","","w w w w w w w w w w, w w w w w w w w."
1042,20,0,"","","w w w w w w w w w: w w w w w w w w w w w."
1043,25,2,"","","w w w w w w w Tw wt w w w w, w w w w, w w w w w w Tw wt;"
1044,19,0,"","","w w w w w w, w w w w w w w w w w, w w w;"
1045,17,0,"","","w w w, w w w, w w w, Tw w wt w, Twt w w w;"
1046,42,0,"","","w w w, w w w, w w w, w w w, Twt w w: w w w w w w, w w w w w w w w Twt, w w w w w w w w w, Tw wt w."
1281,48,0,"","","w w w w w w w w w w w w Dwd w w: w w w w Twt w w w w w w w w; w w w, w w w, w w w w, w w w w w w w w w w."
1282,46,2,"","","w w w w w w w, w w w w w w w, w w w w w w w w w w, w w, w w w w w w w w w w Dwd w w w w w w, w Twt w."
1283,20,0,"","","w w w w w w w w w w w w w w w Twt w w w w."
1284,14,0,"","","w w w w w w w; w w w w w w w."
1285,31,0,"","","w w w w w w, w w w w w w, w w w w w w Twt w w w, w w w w Twt w w w w."
1286,30,0,"","","w w w, w w w w w w w w w w w w w w, w w w w, w w w w w w w w w."
1287,34,0,"","","w w w w w w w w w w w w Dwd w w w, w w w w w w, w w w w Tw, wt w w w w w w:"
1288,24,0,"","","w w w w w Twt w w w w w w w, w w w w w w w w w w w."
1289,36,0,"","","w w w w w w Tw w wt, w w w w w w w w w w w w w w; w w w w w w. w w w w w w w."
1290,33,0,"","","Tw wt w w w w w w w w w w w Twt w w, w w Dwd w Tw wt w w w w w, w w w w w w."
1291,31,1,"","","w w w w w, w w w w w w w w w Twt: (w w w w Tw wt w w w, Twt w w Twt w w w:"
1292,52,0,"","","w w w Tw wt w w, w w w w w, w w, w w, w w w w w w, Twt w w w w, w w w w w w, w w w w w w w w, w w w w w w w w w w w:)"
1293,72,0,"","","w w w w w, w w w w w Twt w w, w w w w w w w w w w w w Dwd; w w w w w Twt w w w w w w w w w w, w w w Dwd, Twt, w Tw wt w; w w w Twt w w: w Twt w w w w w w w, Twt w w w w Dwd;"
1294,26,0,"","","w w w w w w w w w w w w w w: w w w w w Dwd w w w w w w."
1537,15,0,"","","w w w, w Dwd w w w w w w w w w w."
1538,18,0,"","","w w w w w w w w w w, w w w w w w w w."
1539,20,0,"","","w w w w w w, w w w w w w w: w w w w w w w."
1540,28,0,"","","w w w, w Twt w Dwd w w w, w w w w w w Twt w w w w w w w w w w, w,"
1541,49,0,"","","w w w w w w w w w w w w w w w w w w w w w w w w w w w w w w, w w w w w w; w w w w w w w w w w w w w:"
1542,21,0,"","","w w w w w, w w w w w w; w w w w w w w w w w."
1543,23,0,"","","w w w w w w w w w w w w w w w w w w w Dwd w w w."
1544,32,0,"","","w w Dwd w w w w w, w w w w w w w w w w w w w w, w w w w w w w w w w:"
1545,26,0,"","","w w w w w w w; w w w w w w w w w w w, w w w w w w w w."
1546,49,0,"","","w Dwd w w w w w w w w w: w w w w w w w w w w w w, w w w w w w w w, w w Dwd w, w w w w w w w w w w Dwd w w w."
1547,23,0,"","","w w w w w w w w, w Twt w w w w Dwd, w w w w w w w w."
1548,23,1,"","","w w w w w w w w Dwd w w w w w w w w w, w w w w w:"
1549,53,0,"","","w w w w w w w, w w w w, w w w w, w w w w, w w w w w w w w w w: w w w w w, w w w w w w w w w w w w, w w w w w w w,"
1550,37,0,"","","w w, w Dwd w w w, Tw wt w w w w w w w, w w w w; w w w, w Twt w w w w, w w w w w w w w:"
1551,33,0,"","","w w w w w w w w w w w w w w w w; w w w w w, w w w Twt w w w, w Tw wt w w."
1552,59,0,"","","w w, w Dwd w w w, w w w w w w w w w w w w w, w, w w w w w w w w w w w w w w w w w; w w w w w w w w w w w w w w w, w w w w w w."
1553,20,0,"","","w w, w Dwd w w w, w w w w w, w w w w w w w w."
1554,31,0,"","","w w w w w w w w w w w w? w, w w w w w w w w w; w w w w w w w w w!"
1555,31,0,"","","w w w w w w w w w, w w w w, w Dwd w w, w w w w w w w w w w w w w w:"
1556,38,0,"","","w w w w w w w w w w w w, w w w w w w w w w w w w w w; w w w w w w w w w w w w."
1557,34,0,"","","w w w w w w w w, w w w w w, w w w w w w w: w w w w w w, Twt w w; w w w w, w."
1558,28,2,"","","w w w w w w w, w w w w w w w w w w w, w w w w w w w w w w;"
1559,35,0,"","","w w w w w, w w, w w w w, w w w w, w w w w w w w w; w w w w w, w w w w w w w."
1560,36,2,"","","w w w w w w w w w w w w w, w w w w w w; w w w w w w w, w w w w w w w w w w;"
1561,30,0,"","","w w w w w w, w w w w w w w w, w w w w w w w w w w w w w w w w."
1562,38,2,"","","w w w w w w, w w w w w, w w w w w w; Twt w w w w w w, w w w w, w w w w w, w w w w w;"
1563,45,0,"","","w w w w w, w w w w w w w, w w w w w, w w w w w w w w, w w w w; w w w w w w, w w w w w w w w w w."
1564,38,2,"","","w w w w w w w, w w w w, w w w w, w w, w, w w; w w w w w w w w w w w; w w w w w Tw wt:"
1565,40,0,"","","Twt w w Twt w w w w w w w w w, w w w w w w, w w w w w w w w w w w w, w w w w w w w w w:"
1566,35,0,"","","w w w w w w w w, w w, w w w w w w w w w w, w w w w; (w w w w w w w w w w w:)"
1567,24,0,"","","w w w w w, w w w w w, w w w w w w w w w w w w w w."
1568,40,2,"","","w w w w, w w w w w w w, w w w w w w w w w w w w, w w w w, w w w w w; w w w w w w w w;"
1569,56,0,"","","w w w w w w, Twt w w w w, w w w w w w w w w w w w; w w w w w w w w w w, w w w, w Twt w w w, w w w w w w w w w w w w w w w."
1570,40,0,"","","w w w w w w w w w w w w w w w w w w, w w w w w w w w w w w w, w w w w w w w w w w;"
1571,15,0,"","","w w w w w w w w w w w, w w w w."
1572,39,0,"","","w w w w w, (w Tw wt w w w w w,) w w w w w w, w w w w w Twt w, w w w w w w w w w w w w w;"
1573,37,0,"","","w Twt w w w w w w w w w w w, w w w w w w w w w w w w, w, w w w, w w w w, w w w w;"
1574,56,0,"","","w w w w w w w w w w w w w w w w w w w w, w w w w w w, w w w w w, w w w w w w, w Twt w w w w w w, w w w w w w w w w w w:"
1575,29,0,"","","w w w w w w, Twt w w w w, w w w w w, w w w w, w w w w w w w w w."
1576,26,0,"","","w, w w, w, w w w, w w w w, w Twt w w Twt w w w w Tw w wt w w w."
1577,34,0,"","","w w w, w Dwd w, w w w w, w, w w w w w w: w w w, w Dwd w, w w w w, w w w w w w w."
1578,18,0,"","","w Dwd w, w w w w w w w w: w w w w w w w."
1793,32,0,"","","w w w w w w w w w, w w w w w w, w w w w w w w w; w w w w w Dwd w w w."
1794,23,0,"","","w w w w w w w w w w w Dwd, w w w w w Dwd w w w Dwd w."
1795,51,0,"","","w w w w w w w w w w w w w, w w w w w Dwd w w w, w w w w w w w w w w w w, w w, w w w Dwd, Twt, w Tw wt w; w w w Twt w w."
1796,12,2,"","","w w w w w w w w w w w Dwd."
1797,31,0,"","","w w w w w w w w w w w w, w w w w w w w: w w w w w w w w w w w w."
1798,50,0,"","","w w w w w w w: w w w w w w w w w Dwd, w w w w w w w w w Dwd, w w w Twt w w, w w w w w w; w w w w w w w, w w w w."
1799,52,0,"","","w w w w w w w w w Twt w w w w w Dwd: w w w w w w, w w w w w w w, w w w w w w w w w w w w w w w w, w w w w, w w w."
1800,31,2,"","","w w w w w w w w w w w, w w w w w, w w w w, w w w w w w w w w w w."
1801,25,0,"","","w w w w w w w w w w: w w w w w w w w w w, w w w w w."
1802,42,0,"","","w w w w w w w w w w w w w w w w w w w, w w w w w w w w w w Dwd w w w w, w w w, w w w w w."
1803,35,0,"","","w w w w w w w Dwd, w w w w: w w w w w w w w w w w w w w Dwd, w w w w w, w w w."
1804,29,1,"","","w w Dwd w w w w w, w w w w, w w w w w, w w w w w w w w w w w w."
1805,28,0,"","","w w w w w w w w w w, w w w w w w w w w w, w w w w w w w w;"
1806,40,0,"","","w w w, w w w w w w, w w w, w w, w w w w, w w w w w w; w w w w w w, w w w w w, w w w w w."
1807,19,0,"","","w w w w w w, w w w w w w w Tw w wt w w w."
1808,27,0,"","","w w w w w w w w w, w w w w w w w w: w w w w w w w w w w."
1809,33,0,"","","w w w w, w w w w w w, w w w w w, w w w w w w w w w w, w w w w w w w w;"
1810,31,0,"","","w w w w w w w w w, w w w w w w w w w, w, w w w w w w w Tw wt w w w."
1811,28,0,"","","w w w w w, w w w w w w w, w w w w w w, w w w w w w w, w w w;"
1812,49,0,"","","w w w w w w w w w w w w w w w w w w; w w w, w w w w w w w, w w w w w w w, w w w w Tw wt w w w w w w w w."
1813,35,0,"","","w w w, w w w, w w w w w w w w w w w; w w w w w, w w w Dwd w w w w w, w w w w?"
1814,45,0,"","","w w w w w, w w w w Dwd w w w w, w w w w w w w w w w, w w w w w w, w w w, w w w: w w w w w w w w w."
2049,24,0,"","","w w w w w w w w w w w, w w w w w w w w Dwd, w w w w,"
2050,21,0,"","","w w w w w w w w w, w w w, w w w w w w w w w."
2051,9,0,"","","w w w w w, w w w w."
2052,17,0,"","","w w w w w w w, w w w w w, w w w w w."
2053,17,0,"","","w w w w w w, w w w w, w w, w w, w, w w;"
2054,41,0,"","","w w, w w w w w w w w, w w w w w, w w w w w w, w w w w w w w w w, w w w, w w w w w w w w."
2055,28,2,"","","Tw wt w w w Tw wt w w w w, w w w, w w w, w w w, w w w, w Twt w w w,"
2056,29,0,"","","Twt w w w, w w w w w w w w, w w w w w w w, w w w w w w w w w w."
2057,32,0,"","","w w w w w w w w w w w w w w; w w Twt w w w, w w w w w, w w w w w w w."
2058,20,0,"","","w w Twt w w w w w w, Twt w w w w, w w w w w w."
2059,52,2,"","","w w w w w w w w w w w w w w w w w w w w w w w: w w w, w w w w w w w w w w w w w, w Tw w wt w, w w w w w Dwd w w."
2060,21,1,"","","w w w w w w w Dwd w w w w w Dwd, w w w w w w w,"
2061,51,0,"","","w w w w w w w, w w w w w w w, w w w, w w w w w, w w w w w, w w w w w, Twt w w w w w w, w w w w w w, w w w w w w."
2062,57,2,"","","w w w, w w w w w w w w, w w w w w w w w, w w w w w w, w w w w w w w, w w w w w w w: w w w w w w w w w: w w w w w w w w w."
2063,22,0,"","","w w w w w w w w w w w w w w w w w w, w w w w."
2064,33,0,"","","w w w w w w w w w w w w w w w w w w w Dwd, w w w w w. Twt w w w w Dwd w w."
2065,17,2,"","","w w w w w, w w w, w w w w w w w w w."
2066,45,0,"","","w w w w w w w w w w w, w w w w w w w w; w w w w w w w w w w, w w w w w w w w w w, w w Twt w w w."
2305,57,0,"","","w w w w w w w w w w w w, w w w w w w w w w w, w w w w w, w w w w w, w w w w, w w w: w w w w w w w, w w w w w w w w w w w."
2306,19,0,"","","w w w w w w w: w w w w w w w w w w w w."
2307,19,0,"","","w w w w w w w w w w w w, w w w w w w w,"
2308,48,0,"","","w w w w w w, w w w w w w, w w w w w w, w w w; w w w, w w w; w w w w w w w w w w w w w Dwd; w w w w w w w."
2309,25,0,"","","w w w w w w, Tw wt w w w w w w w w w w w w w, w w w w:"
2310,38,0,"","","w w w w w w, w w w, w w w w w Twt: w, w, w w w w w w w w w w w w w: Twt w w w w w w w."
2311,19,0,"","","w Twt w w, w w Twt w w w, w w w w w, w w w w."
2312,46,0,"","","w w w Dwd w w, w w w w w w w w w w, Tw wt w w w Dwd w w: w w w w w, w w w w w, w w w w w w w, w w w w w."
2313,34,0,"","","w w w w w w w w w w w w, w w w w w, w w w: w w w w w w w w w w w w w w."
2314,22,0,"","","w w w w w w, w w w w w, w w w w w, w w w w w w."
2315,38,0,"","","w w w w Twt w w w w w w w w w Dwd, w w w w w, w w w w w w: w w w w w w w w w w w w."
2316,38,0,"","","w w w w w w w w w w w w, w w w, w Twt w w w w w w w. w w w, w w w w w w w, w w w w."
2317,22,1,"","","w w w w w w w w w w w w w w w w w w w w w w;"
2318,24,0,"","","w Tw wt w w w w. w w w w w w w w w w w w w w w w w."
2319,20,2,"","","w w w w w w w Twt w w: w w Twt w w w w w w w."
2320,31,0,"","","w w w w Tw w wt w w: w w Twt w w w w w w. w w w w w w w w w w w w w."
2321,15,0,"","","w w w w w w w w w, w w w w w w."
2322,35,0,"","","w Tw wt w w w w w, w w w w w, Tw wt w w w w, w w w w w w w w w, w w w w w w w:"
2323,26,0,"","","w w w w w w w w w w w w w w w w w. w w w w w w w w w."
2324,43,2,"","","w w w w w w w w Tw wt w, w w w w w w w w w w w w Tw wt w w: w Tw wt w; w w Twt w w w w w w w w w."
2325,30,0,"","","w w w w w w w w w w w w: w w w w w w w w w w w, w w, w, w w, w w."
2326,14,0,"","","w w w w w w w w w w w w w w."
2327,23,2,"","","w w w w w w w w w w w w, w w w w, w w w w w w w."
2328,27,0,"","","w w w w w w w, w w w, w w w w, w w, w, w w, w, w w, w w w w w."
2329,27,2,"","","w w w w w w w w w w, w w w w; w w w w w w w, w w w w w w."
2330,23,2,"","","w w w w w w w w w w w w w w w w w, w w w w w w."
2331,26,0,"","","w w w w w w w w w, w w w w w w w w w w Twt w w w w w w."
2332,14,0,"","","w w w w w w w w w, w w w w w."
2333,44,2,"","","w w w w w w w w, w w w, Twt w w w w w w w w w w, w w w w w w w w, w w w w w w w w w w w w w w?"
2334,10,0,"","","w w w w w w w w w w."
2335,25,0,"","","w w w w w w, w w w w w w w w w w w: w w w w w w w w."
2561,16,0,"","","w w w w w: w w w w w w w w w w w."
2562,34,0,"","","w w w w w, w w w w w w, w Twt w w, w w w w w w w w w w w, w Twt, w w w w w w."
2563,17,0,"","","w w w w w w. w w w w w w w w w w, w,"
2564,31,0,"","","w w w w w w: w w w w w w w w w w w, w w w w w w w w w, w w w w w."
2565,16,0,"","","w w w w w, w w w w w w w. w w w w."
2566,32,2,"","","w w w w w w w w w w w w w w w w w w w w, w, w w w w Twt w w w w w w?"
2567,29,0,"","","w w w w w, w, w w w w w w w, w w w, w w w w w w, w w w w w w w."
2568,28,0,"","","w w w w w w w w w w w, w w w w w w w w w w w w w, w w w w."
2569,34,0,"","","w w w w w, w w w w w w w w w w w w, w w w w w, w, w w w w w w w w w w w?"
2570,55,0,"","","w w w w w w w w w w w w w, w, w w w w w w w w w w, w, w w w w w w, w w w Twt w w w w; w w w w w w, w w Twt w w w w w w w."
2571,30,0,"","","w w w w w w w w w w, w w w w w w w: w w w w w w, w w Tw w wt w w."
2572,26,3,"","","w w w w w w w w w w w w w, w w w w, w, w w w w w w w w."
2573,16,0,"","","w w w w w w; w w w w w w w w w w,"
2574,35,0,"","","w w w w w w w w w w, w, w w w w w w, w w w w w: w w w w w w, w w Tw w wt w w."
2575,37,0,"","","w w w w w w w w: w w w w w w, w w Dwd w w w w, w w w w w w w w w w w w w w w w."
2576,57,2,"","","w w w w Twt w w w w w w w w, w w w w w, w, w w w w w w? w Tw wt w w w w w w w: w w w w w, w w: Twt w, w, w w w w w. w w w w w w w."
2577,18,0,"","","w Tw wt w w w w w w w w w w w, w w w w."
2578,38,0,"","","w w w w w w Twt w w w; w w w w w w w w w, w w w. w w w w w w w w w w Twt w, w w w w."
2579,11,0,"","","w w w w w w w w w w w."
2817,39,0,"","","w w w w w w w, w w w w w w w w w w w w w w w Twt, w w w, w w w w, w w w w w w w w w."
2818,14,0,"","","w w w w w Dwd w w w w w w w, w,"
2819,19,0,"","","w w w w w w w, w w w, w w w w w w w w, w,"
2820,41,0,"","","w w w Dwd, w w w w w, w w w w w: w w w w w w: w w w w w w w. w w w w w w w Dwd, w w w w w w."
2821,12,2,"","","w w w w w, w w w w w w w."
2822,8,0,"","","w w w w, w w, w w,"
2823,6,0,"","","w w, w w, w w,"
2824,6,0,"","","w w, w w, w w,"
2825,6,0,"","","w w, w w, w w,"
2826,15,0,"","","w w, w w, w w, w Twt w w w w w w w."
2827,20,0,"","","w w w w w w, w w w w w, w w w w, w w w w w."
2828,22,0,"","","w w w w w Tw wt w w w, w w w w w, w w w w w w w."
2829,19,1,"","","w w w w w w w Twt w w w w w w w w w w w."
2830,32,0,"","","w w w w w w w w w, w w w w w w: w w w w w w w w w w w w w w w w Dwd:"
2831,21,0,"","","w w w w w w w w w, w w w w, w w w w w w w w."
2832,34,0,"","","w w w w w w w w w w w w w w w w w w Dwd w w w w w w, w w w w Dwd w w w w."
2833,29,0,"","","w w w w w w w, w w w w w w w w, w w: w w w w w w w w w w w w."
2834,25,2,"","","w w w w w w w w w w w w w w w, Twt w w w w w w w w w;"
2835,9,0,"","","w w w w; w, w w, w w."
2836,20,0,"","","w w w w w w w w w w; w w w w, w w, w w, w w."
2837,32,0,"","","w w w w w w w w w w w w w w w: (w w w w w, w w w; w w w w w w, w w w.)"
2838,23,0,"","","w w w w w w w w w w, Tw wt w w w w: w Tw wt w w w w."
2839,34,0,"","","w w w w, w w w w w w w w w w w w w w, w w w w: w w w w w w w. w w w w w."
3073,27,0,"","","w w w w w, w w w w w w, w w w w, w w w w w w Dwd, w w w w w."
3074,28,0,"","","w w w w w, Twt w w w w w w w w w w w w w w w, w w w w w w Dwd,"
3075,28,0,"","","w w w w, w w w w: w w w Twt w w w w w w w w w; w w, w w, w w w."
3076,14,0,"","","w w w w w w w Twt w w, w w w w."
3077,46,2,"","","w w w w w w w, w Twt w w w w, w w w w w w w w w, w w w w, w w w Dwd, w w w w, w w w w w w w w w w w w."
3078,17,0,"","","w w w w w w w w w w; w w w, w Dwd Twt w."
3079,50,0,"","","w w w Dwd w w w w w, w w w w Dwd w w w, w, w w w w; Twt w w w w w, w w w w w w w; w w w w w w w w w w w w w w w."
3080,21,0,"","","w w w w w w; w w w w w w, w w w w w w w w w."
3081,42,0,"","","w w w w w w w w w, w w w w w w w w w w Dwd, w w w w w w w; w w w: w w w w w w w w w w w w."
3082,29,0,"","","w w w w w w w w w, w w Twt w w w w w w w w w, w w w w w w w w."
3083,25,0,"","","w w w w w w w w w w Dwd, w w w w w w, w w w w w w w w."
3084,27,0,"","","w w w w w, w w w w Dwd w w w, w w w w w Twt w: w w w w w w w."
3085,56,1,"","","w w w w w w w, w w: w w Twt w w w w w w w w w w, w w w w w w w, w w w w Dwd w w w w w w w w w, w w w w w. w w w w Twt w w w."
3086,14,0,"","","w w w w, w w w w w w w w w Dwd."
3087,35,0,"","","w w w w w, w w w, Twt w w w w w w w w w w, w w w w w w w? w Tw wt w w w w w w."
3088,22,0,"","","w w w w w w, w w w w w w w w: w w w w w w w w."
3329,14,0,"","","w w w w w w w w w w w w w w."
3330,26,0,"","","w w w w w w. w w w w Twt w w w w w w w. w w w w w w w w."
3331,41,0,"","","w w w w w w w w w w w w w w w, Twt w w w w w: w w w w w w w w w w w w w w w, Twt w w w w."
3332,21,2,"","","w w w w w w w, w Twt w w w, w w, w w, w w, w w w;"
3333,32,0,"","","w w w w w w w Dwd w w w w w w w w w w w w, Twt w w w w w w w w w w w?"
3334,23,0,"","","w w w w w w, w w w w w w w w, w w w, w w w w w w."
3335,33,0,"","","w w w w w w w w, w w w w, w w w w w w w w w w, w w w w w w, w w w w w."
3336,38,0,"","","w w w w w w w w w w Dwd w w w w w w w w; w w Twt w w w, w Tw wt w w w w, w w w w w w."
3337,57,0,"","","w w w w w w w w w Dwd, w w w w, w w w, w w w w w w w w w w w w Twt w? w w w w w w w w w w w w w w, Tw wt w w w w w Tw w wt w w."
3338,35,0,"","","w w w w, w Dwd Twt w w, w w w w w w; w w w, w w w w Dwd, Twt w w w w, w w w Twt w Twt w:"
3339,55,0,"","","w w w w w Dwd w w w w w w w w w w: w w w Tw w w wt w w w w; w w w w w w w w w, w w w w: w w w w w w w Dwd w w; w w w w w."
3340,40,0,"","","w, w, w w Twt w w w Twt w, w w w w w w w w w w w. w w w w, w w w w w Dwd w w w w; w w w w w."
3341,21,1,"","","w w w w w w w w w w: w w w w w, w w w Twt w w."
3342,25,0,"","","w w w w w, w, w w Twt w w w: w w w w w Dwd, w w w w w w w."
3343,30,0,"","","w w w w w w w w: w w w w w w w, w w w w, w w w w w w w w w w w."
3344,15,0,"","","w w w w w w w w: w w w w w w w."
3345,23,0,"","","w w w w w w w w w w w: w w w w w w w w w w w w."
3346,27,0,"","","w w w w w w w w w w w, w w w w w w, w w w w w Dwd w w w w."
3347,27,0,"","","w w w w w, w w w w w, w w w w w, w w w w w w, w w w w w w."
3348,19,0,"","","w w w w w w w w w w w: w w Dwd w w, w w w."
3349,17,2,"","","w w w w, w w w w, w w w w w w, w w w."
3350,23,0,"","","w w w w w w w w, w w w, w w w, Twt w w w w w w w w."
3585,32,0,"","","w w w w w w, w w w w w w w w w: w w w w w w w w. w w w w w w w w w."
3586,17,0,"","","w w w Tw w wt w w w w w w w w Dwd w w:"
3587,24,0,"","","w w w w w w w w w Twt, w w w w, w w w w w, w w w w w:"
3588,19,0,"","","w w w w w w Dwd w w w w, w w w w w w w w."
3589,24,0,"","","w w w w w w w w w w w w w w w w w: w w w w w w w."
3590,27,2,"","","w w w w w w w: w w w w w, w w w w w w w w; w w Dwd w w w w."
3591,53,0,"","","w w w w w, w w w w w, w w w Twt w, w w, w, w w, Twt w w Twt w w w; w w w w w Dwd w w, w w w Twt, w w w w w w w w w. w w w w w."
