ChpVrsNdx,NumWrd,bPilcrow,PText,RText
289,21,0,"And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these are the sons of Keturah.","And the sons of Midian; Ephah, and Epher, and Henoch, and Abida, and Eldaah. All these <i>are</i> the sons of Keturah."
290,11,0,"And Abraham begat Isaac. The sons of Isaac; Esau and Israel.","And Abraham begat Isaac. The sons of Isaac; Esau and Israel."
291,12,1,"The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah.","¶The sons of Esau; Eliphaz, Reuel, and Jeush, and Jaalam, and Korah."
292,15,0,"The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek.","The sons of Eliphaz; Teman, and Omar, Zephi, and Gatam, Kenaz, and Timna, and Amalek."
293,9,0,"The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah.","The sons of Reuel; Nahath, Zerah, Shammah, and Mizzah."
294,18,0,"And the sons of Seir; Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezer, and Dishan.","And the sons of Seir; Lotan, and Shobal, and Zibeon, and Anah, and Dishon, and Ezer, and Dishan."
295,13,0,"And the sons of Lotan; Hori, and Homam: and Timna was Lotan's sister.","And the sons of Lotan; Hori, and Homam: and Timna <i>was</i> Lotan's sister."
296,20,0,"The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. And the sons of Zibeon; Aiah, and Anah.","The sons of Shobal; Alian, and Manahath, and Ebal, Shephi, and Onam. And the sons of Zibeon; Aiah, and Anah."
297,17,0,"The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran.","The sons of Anah; Dishon. And the sons of Dishon; Amram, and Eshban, and Ithran, and Cheran."
298,16,0,"The sons of Ezer; Bilhan, and Zavan, and Jakan. The sons of Dishan; Uz, and Aran.","The sons of Ezer; Bilhan, and Zavan, <i>and</i> Jakan. The sons of Dishan; Uz, and Aran."
299,34,1,"Now these are the kings that reigned in the land of Edom before any king reigned over the children of Israel; Bela the son of Beor: and the name of his city was Dinhabah.","¶Now these <i>are</i> the kings that reigned in the land of Edom before <i>any</i> king reigned over the children of Israel; Bela the son of Beor: and the name of his city <i>was</i> Dinhabah."
300,16,0,"And when Bela was dead, Jobab the son of Zerah of Bozrah reigned in his stead.","And when Bela was dead, Jobab the son of Zerah of Bozrah reigned in his stead."
301,16,0,"And when Jobab was dead, Husham of the land of the Temanites reigned in his stead.","And when Jobab was dead, Husham of the land of the Temanites reigned in his stead."
302,30,0,"And when Husham was dead, Hadad the son of Bedad, which smote Midian in the field of Moab, reigned in his stead: and the name of his city was Avith.","And when Husham was dead, Hadad the son of Bedad, which smote Midian in the field of Moab, reigned in his stead: and the name of his city <i>was</i> Avith."
303,12,0,"And when Hadad was dead, Samlah of Masrekah reigned in his stead.","And when Hadad was dead, Samlah of Masrekah reigned in his stead."
304,15,0,"And when Samlah was dead, Shaul of Rehoboth by the river reigned in his stead.","And when Samlah was dead, Shaul of Rehoboth by the river reigned in his stead."
305,14,0,"And when Shaul was dead, Baal-hanan the son of Achbor reigned in his stead.","And when Shaul was dead, Baal–hanan the son of Achbor reigned in his stead."
306,32,0,"And when Baal-hanan was dead, Hadad reigned in his stead: and the name of his city was Pai; and his wife's name was Mehetabel, the daughter of Matred, the daughter of Mezahab.","And when Baal–hanan was dead, Hadad reigned in his stead: and the name of his city <i>was</i> Pai; and his wife's name <i>was</i> Mehetabel, the daughter of Matred, the daughter of Mezahab."
307,15,1,"Hadad died also. And the dukes of Edom were; duke Timnah, duke Aliah, duke Jetheth,","¶Hadad died also. And the dukes of Edom were; duke Timnah, duke Aliah, duke Jetheth,"
308,6,0,"Duke Aholibamah, duke Elah, duke Pinon,","Duke Aholibamah, duke Elah, duke Pinon,"
309,6,0,"Duke Kenaz, duke Teman, duke Mibzar,","Duke Kenaz, duke Teman, duke Mibzar,"
310,10,0,"Duke Magdiel, duke Iram. These are the dukes of Edom.","Duke Magdiel, duke Iram. These <i>are</i> the dukes of Edom."
513,14,0,"These are the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,","These <i>are</i> the sons of Israel; Reuben, Simeon, Levi, and Judah, Issachar, and Zebulun,"
514,8,0,"Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher.","Dan, Joseph, and Benjamin, Naphtali, Gad, and Asher."
515,40,1,"The sons of Judah; Er, and Onan, and Shelah: which three were born unto him of the daughter of Shua the Canaanitess. And Er, the firstborn of Judah, was evil in the sight of the LORD; and he slew him.","¶The sons of Judah; Er, and Onan, and Shelah: <i>which</i> three were born unto him of the daughter of Shua the Canaanitess. And Er, the firstborn of Judah, was evil in the sight of the L<font size=""-1"">ORD</font>; and he slew him."
516,18,0,"And Tamar his daughter in law bare him Pharez and Zerah. All the sons of Judah were five.","And Tamar his daughter in law bare him Pharez and Zerah. All the sons of Judah <i>were</i> five."
517,7,0,"The sons of Pharez; Hezron, and Hamul.","The sons of Pharez; Hezron, and Hamul."
518,19,0,"And the sons of Zerah; Zimri, and Ethan, and Heman, and Calcol, and Dara: five of them in all.","And the sons of Zerah; Zimri, and Ethan, and Heman, and Calcol, and Dara: five of them in all."
519,16,0,"And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed.","And the sons of Carmi; Achar, the troubler of Israel, who transgressed in the thing accursed."
520,6,0,"And the sons of Ethan; Azariah.","And the sons of Ethan; Azariah."
521,15,0,"The sons also of Hezron, that were born unto him; Jerahmeel, and Ram, and Chelubai.","The sons also of Hezron, that were born unto him; Jerahmeel, and Ram, and Chelubai."
522,14,0,"And Ram begat Amminadab; and Amminadab begat Nahshon, prince of the children of Judah;","And Ram begat Amminadab; and Amminadab begat Nahshon, prince of the children of Judah;"
523,8,0,"And Nahshon begat Salma, and Salma begat Boaz,","And Nahshon begat Salma, and Salma begat Boaz,"
524,8,0,"And Boaz begat Obed, and Obed begat Jesse,","And Boaz begat Obed, and Obed begat Jesse,"
525,14,1,"And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,","¶And Jesse begat his firstborn Eliab, and Abinadab the second, and Shimma the third,"
526,6,0,"Nethaneel the fourth, Raddai the fifth,","Nethaneel the fourth, Raddai the fifth,"
527,6,0,"Ozem the sixth, David the seventh:","Ozem the sixth, David the seventh:"
528,17,0,"Whose sisters were Zeruiah, and Abigail. And the sons of Zeruiah; Abishai, and Joab, and Asahel, three.","Whose sisters <i>were</i> Zeruiah, and Abigail. And the sons of Zeruiah; Abishai, and Joab, and Asahel, three."
529,13,0,"And Abigail bare Amasa: and the father of Amasa was Jether the Ishmeelite.","And Abigail bare Amasa: and the father of Amasa <i>was</i> Jether the Ishmeelite."
530,24,1,"And Caleb the son of Hezron begat children of Azubah his wife, and of Jerioth: her sons are these; Jesher, and Shobab, and Ardon.","¶And Caleb the son of Hezron begat <i>children</i> of Azubah <i>his</i> wife, and of Jerioth: her sons <i>are</i> these; Jesher, and Shobab, and Ardon."
531,14,0,"And when Azubah was dead, Caleb took unto him Ephrath, which bare him Hur.","And when Azubah was dead, Caleb took unto him Ephrath, which bare him Hur."
532,8,0,"And Hur begat Uri, and Uri begat Bezaleel.","And Hur begat Uri, and Uri begat Bezaleel."
533,28,1,"And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he was threescore years old; and she bare him Segub.","¶And afterward Hezron went in to the daughter of Machir the father of Gilead, whom he married when he <i>was</i> threescore years old; and she bare him Segub."
534,15,0,"And Segub begat Jair, who had three and twenty cities in the land of Gilead.","And Segub begat Jair, who had three and twenty cities in the land of Gilead."
535,34,0,"And he took Geshur, and Aram, with the towns of Jair, from them, with Kenath, and the towns thereof, even threescore cities. All these belonged to the sons of Machir the father of Gilead.","And he took Geshur, and Aram, with the towns of Jair, from them, with Kenath, and the towns thereof, <i>even</i> threescore cities. All these <i>belonged to</i> the sons of Machir the father of Gilead."
536,19,0,"And after that Hezron was dead in Caleb-ephratah, then Abiah Hezron's wife bare him Ashur the father of Tekoa.","And after that Hezron was dead in Caleb–ephratah, then Abiah Hezron's wife bare him Ashur the father of Tekoa."
537,21,1,"And the sons of Jerahmeel the firstborn of Hezron were, Ram the firstborn, and Bunah, and Oren, and Ozem, and Ahijah.","¶And the sons of Jerahmeel the firstborn of Hezron were, Ram the firstborn, and Bunah, and Oren, and Ozem, <i>and</i> Ahijah."
538,15,0,"Jerahmeel had also another wife, whose name was Atarah; she was the mother of Onam.","Jerahmeel had also another wife, whose name <i>was</i> Atarah; she <i>was</i> the mother of Onam."
539,15,0,"And the sons of Ram the firstborn of Jerahmeel were, Maaz, and Jamin, and Eker.","And the sons of Ram the firstborn of Jerahmeel were, Maaz, and Jamin, and Eker."
540,17,0,"And the sons of Onam were, Shammai, and Jada. And the sons of Shammai; Nadab, and Abishur.","And the sons of Onam were, Shammai, and Jada. And the sons of Shammai; Nadab, and Abishur."
541,17,0,"And the name of the wife of Abishur was Abihail, and she bare him Ahban, and Molid.","And the name of the wife of Abishur <i>was</i> Abihail, and she bare him Ahban, and Molid."
542,13,0,"And the sons of Nadab; Seled, and Appaim: but Seled died without children.","And the sons of Nadab; Seled, and Appaim: but Seled died without children."
543,18,0,"And the sons of Appaim; Ishi. And the sons of Ishi; Sheshan. And the children of Sheshan; Ahlai.","And the sons of Appaim; Ishi. And the sons of Ishi; Sheshan. And the children of Sheshan; Ahlai."
544,17,0,"And the sons of Jada the brother of Shammai; Jether, and Jonathan: and Jether died without children.","And the sons of Jada the brother of Shammai; Jether, and Jonathan: and Jether died without children."
545,14,0,"And the sons of Jonathan; Peleth, and Zaza. These were the sons of Jerahmeel.","And the sons of Jonathan; Peleth, and Zaza. These were the sons of Jerahmeel."
546,18,1,"Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name was Jarha.","¶Now Sheshan had no sons, but daughters. And Sheshan had a servant, an Egyptian, whose name <i>was</i> Jarha."
547,16,0,"And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai.","And Sheshan gave his daughter to Jarha his servant to wife; and she bare him Attai."
548,8,0,"And Attai begat Nathan, and Nathan begat Zabad,","And Attai begat Nathan, and Nathan begat Zabad,"
549,8,0,"And Zabad begat Ephlal, and Ephlal begat Obed,","And Zabad begat Ephlal, and Ephlal begat Obed,"
550,8,0,"And Obed begat Jehu, and Jehu begat Azariah,","And Obed begat Jehu, and Jehu begat Azariah,"
551,8,0,"And Azariah begat Helez, and Helez begat Eleasah,","And Azariah begat Helez, and Helez begat Eleasah,"
552,8,0,"And Eleasah begat Sisamai, and Sisamai begat Shallum,","And Eleasah begat Sisamai, and Sisamai begat Shallum,"
553,8,0,"And Shallum begat Jekamiah, and Jekamiah begat Elishama.","And Shallum begat Jekamiah, and Jekamiah begat Elishama."
554,28,1,"Now the sons of Caleb the brother of Jerahmeel were, Mesha his firstborn, which was the father of Ziph; and the sons of Mareshah the father of Hebron.","¶Now the sons of Caleb the brother of Jerahmeel <i>were</i>, Mesha his firstborn, which was the father of Ziph; and the sons of Mareshah the father of Hebron."
555,12,0,"And the sons of Hebron; Korah, and Tappuah, and Rekem, and Shema.","And the sons of Hebron; Korah, and Tappuah, and Rekem, and Shema."
556,12,0,"And Shema begat Raham, the father of Jorkoam: and Rekem begat Shammai.","And Shema begat Raham, the father of Jorkoam: and Rekem begat Shammai."
557,14,0,"And the son of Shammai was Maon: and Maon was the father of Beth-zur.","And the son of Shammai <i>was</i> Maon: and Maon <i>was</i> the father of Beth–zur."
558,14,0,"And Ephah, Caleb's concubine, bare Haran, and Moza, and Gazez: and Haran begat Gazez.","And Ephah, Caleb's concubine, bare Haran, and Moza, and Gazez: and Haran begat Gazez."
559,16,0,"And the sons of Jahdai; Regem, and Jotham, and Geshan, and Pelet, and Ephah, and Shaaph.","And the sons of Jahdai; Regem, and Jotham, and Geshan, and Pelet, and Ephah, and Shaaph."
560,7,0,"Maachah, Caleb's concubine, bare Sheber, and Tirhanah.","Maachah, Caleb's concubine, bare Sheber, and Tirhanah."
561,25,0,"She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea: and the daughter of Caleb was Achsah.","She bare also Shaaph the father of Madmannah, Sheva the father of Machbenah, and the father of Gibea: and the daughter of Caleb <i>was</i> Achsah."
562,19,1,"These were the sons of Caleb the son of Hur, the firstborn of Ephratah; Shobal the father of Kirjath-jearim,","¶These were the sons of Caleb the son of Hur, the firstborn of Ephratah; Shobal the father of Kirjath–jearim,"
563,10,0,"Salma the father of Beth-lehem, Hareph the father of Beth-gader.","Salma the father of Beth–lehem, Hareph the father of Beth–gader."
564,14,0,"And Shobal the father of Kirjath-jearim had sons; Haroeh, and half of the Manahethites.","And Shobal the father of Kirjath–jearim had sons; Haroeh, <i>and</i> half of the Manahethites."
565,24,0,"And the families of Kirjath-jearim; the Ithrites, and the Puhites, and the Shumathites, and the Mishraites; of them came the Zareathites, and the Eshtaulites.","And the families of Kirjath–jearim; the Ithrites, and the Puhites, and the Shumathites, and the Mishraites; of them came the Zareathites, and the Eshtaulites."
566,20,0,"The sons of Salma; Beth-lehem, and the Netophathites, Ataroth, the house of Joab, and half of the Manahethites, the Zorites.","The sons of Salma; Beth–lehem, and the Netophathites, Ataroth, the house of Joab, and half of the Manahethites, the Zorites."
567,31,0,"And the families of the scribes which dwelt at Jabez; the Tirathites, the Shimeathites, and Suchathites. These are the Kenites that came of Hemath, the father of the house of Rechab.","And the families of the scribes which dwelt at Jabez; the Tirathites, the Shimeathites, <i>and</i> Suchathites. These <i>are</i> the Kenites that came of Hemath, the father of the house of Rechab."
769,28,0,"Now these were the sons of David, which were born unto him in Hebron; the firstborn Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess:","Now these were the sons of David, which were born unto him in Hebron; the firstborn Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess:"
770,21,0,"The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith:","The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith:"
771,12,0,"The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife.","The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife."
772,26,0,"These six were born unto him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years.","<i>These</i> six were born unto him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years."
773,22,0,"And these were born unto him in Jerusalem; Shimea, and Shobab, and Nathan, and Solomon, four, of Bath-shua the daughter of Ammiel:","And these were born unto him in Jerusalem; Shimea, and Shobab, and Nathan, and Solomon, four, of Bath–shua the daughter of Ammiel:"
774,6,0,"Ibhar also, and Elishama, and Eliphelet,","Ibhar also, and Elishama, and Eliphelet,"
775,6,0,"And Nogah, and Nepheg, and Japhia,","And Nogah, and Nepheg, and Japhia,"
776,7,0,"And Elishama, and Eliada, and Eliphelet, nine.","And Elishama, and Eliada, and Eliphelet, nine."
777,17,0,"These were all the sons of David, beside the sons of the concubines, and Tamar their sister.","<i>These were</i> all the sons of David, beside the sons of the concubines, and Tamar their sister."
778,14,1,"And Solomon's son was Rehoboam, Abia his son, Asa his son, Jehoshaphat his son,","¶And Solomon's son <i>was</i> Rehoboam, Abia his son, Asa his son, Jehoshaphat his son,"
779,9,0,"Joram his son, Ahaziah his son, Joash his son,","Joram his son, Ahaziah his son, Joash his son,"
780,9,0,"Amaziah his son, Azariah his son, Jotham his son,","Amaziah his son, Azariah his son, Jotham his son,"
781,9,0,"Ahaz his son, Hezekiah his son, Manasseh his son,","Ahaz his son, Hezekiah his son, Manasseh his son,"
782,6,0,"Amon his son, Josiah his son.","Amon his son, Josiah his son."
783,18,0,"And the sons of Josiah were, the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.","And the sons of Josiah <i>were</i>, the firstborn Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum."
784,11,0,"And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son.","And the sons of Jehoiakim: Jeconiah his son, Zedekiah his son."
785,9,1,"And the sons of Jeconiah; Assir, Salathiel his son,","¶And the sons of Jeconiah; Assir, Salathiel his son,"
786,10,0,"Malchiram also, and Pedaiah, and Shenazar, Jecamiah, Hoshama, and Nedabiah.","Malchiram also, and Pedaiah, and Shenazar, Jecamiah, Hoshama, and Nedabiah."
787,21,0,"And the sons of Pedaiah were, Zerubbabel, and Shimei: and the sons of Zerubbabel; Meshullam, and Hananiah, and Shelomith their sister:","And the sons of Pedaiah <i>were</i>, Zerubbabel, and Shimei: and the sons of Zerubbabel; Meshullam, and Hananiah, and Shelomith their sister:"
788,10,0,"And Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushab-hesed, five.","And Hashubah, and Ohel, and Berechiah, and Hasadiah, Jushab–hesed, five."
789,24,0,"And the sons of Hananiah; Pelatiah, and Jesaiah: the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shechaniah.","And the sons of Hananiah; Pelatiah, and Jesaiah: the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shechaniah."
790,21,0,"And the sons of Shechaniah; Shemaiah: and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six.","And the sons of Shechaniah; Shemaiah: and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six."
791,11,0,"And the sons of Neariah; Elioenai, and Hezekiah, and Azrikam, three.","And the sons of Neariah; Elioenai, and Hezekiah, and Azrikam, three."
792,20,0,"And the sons of Elioenai were, Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Dalaiah, and Anani, seven.","And the sons of Elioenai <i>were</i>, Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Dalaiah, and Anani, seven."
1025,12,0,"The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal.","The sons of Judah; Pharez, Hezron, and Carmi, and Hur, and Shobal."
1026,21,0,"And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad. These are the families of the Zorathites.","And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai, and Lahad. These <i>are</i> the families of the Zorathites."
1027,21,0,"And these were of the father of Etam; Jezreel, and Ishma, and Idbash: and the name of their sister was Hazelelponi:","And these <i>were of</i> the father of Etam; Jezreel, and Ishma, and Idbash: and the name of their sister <i>was</i> Hazelelponi:"
1028,26,0,"And Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephratah, the father of Beth-lehem.","And Penuel the father of Gedor, and Ezer the father of Hushah. These <i>are</i> the sons of Hur, the firstborn of Ephratah, the father of Beth–lehem."
1029,12,1,"And Ashur the father of Tekoa had two wives, Helah and Naarah.","¶And Ashur the father of Tekoa had two wives, Helah and Naarah."
1030,17,0,"And Naarah bare him Ahuzam, and Hepher, and Temeni, and Haahashtari. These were the sons of Naarah.","And Naarah bare him Ahuzam, and Hepher, and Temeni, and Haahashtari. These <i>were</i> the sons of Naarah."
1031,11,0,"And the sons of Helah were, Zereth, and Jezoar, and Ethnan.","And the sons of Helah <i>were</i>, Zereth, and Jezoar, and Ethnan."
1032,15,0,"And Coz begat Anub, and Zobebah, and the families of Aharhel the son of Harum.","And Coz begat Anub, and Zobebah, and the families of Aharhel the son of Harum."
1033,22,1,"And Jabez was more honourable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow.","¶And Jabez was more honourable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow."
1034,50,0,"And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my coast, and that thine hand might be with me, and that thou wouldest keep me from evil, that it may not grieve me! And God granted him that which he requested.","And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my coast, and that thine hand might be with me, and that thou wouldest keep <i>me</i> from evil, that it may not grieve me! And God granted him that which he requested."
1035,14,1,"And Chelub the brother of Shuah begat Mehir, which was the father of Eshton.","¶And Chelub the brother of Shuah begat Mehir, which <i>was</i> the father of Eshton."
1036,18,0,"And Eshton begat Beth-rapha, and Paseah, and Tehinnah the father of Ir-nahash. These are the men of Rechah.","And Eshton begat Beth–rapha, and Paseah, and Tehinnah the father of Ir–nahash. These <i>are</i> the men of Rechah."
1037,14,0,"And the sons of Kenaz; Othniel, and Seraiah: and the sons of Othniel; Hathath.","And the sons of Kenaz; Othniel, and Seraiah: and the sons of Othniel; Hathath."
1038,19,0,"And Meonothai begat Ophrah: and Seraiah begat Joab, the father of the valley of Charashim; for they were craftsmen.","And Meonothai begat Ophrah: and Seraiah begat Joab, the father of the valley of Charashim; for they were craftsmen."
1039,20,0,"And the sons of Caleb the son of Jephunneh; Iru, Elah, and Naam: and the sons of Elah, even Kenaz.","And the sons of Caleb the son of Jephunneh; Iru, Elah, and Naam: and the sons of Elah, even Kenaz."
1040,11,0,"And the sons of Jehaleleel; Ziph, and Ziphah, Tiria, and Asareel.","And the sons of Jehaleleel; Ziph, and Ziphah, Tiria, and Asareel."
1041,25,0,"And the sons of Ezra were, Jether, and Mered, and Epher, and Jalon: and she bare Miriam, and Shammai, and Ishbah the father of Eshtemoa.","And the sons of Ezra <i>were</i>, Jether, and Mered, and Epher, and Jalon: and she bare Miriam, and Shammai, and Ishbah the father of Eshtemoa."
1042,36,0,"And his wife Jehudijah bare Jered the father of Gedor, and Heber the father of Socho, and Jekuthiel the father of Zanoah. And these are the sons of Bithiah the daughter of Pharaoh, which Mered took.","And his wife Jehudijah bare Jered the father of Gedor, and Heber the father of Socho, and Jekuthiel the father of Zanoah. And these <i>are</i> the sons of Bithiah the daughter of Pharaoh, which Mered took."
1043,21,0,"And the sons of his wife Hodiah the sister of Naham, the father of Keilah the Garmite, and Eshtemoa the Maachathite.","And the sons of <i>his</i> wife Hodiah the sister of Naham, the father of Keilah the Garmite, and Eshtemoa the Maachathite."
1044,21,0,"And the sons of Shimon were, Amnon, and Rinnah, Ben-hanan, and Tilon. And the sons of Ishi were, Zoheth, and Ben-zoheth.","And the sons of Shimon <i>were</i>, Amnon, and Rinnah, Ben–hanan, and Tilon. And the sons of Ishi <i>were</i>, Zoheth, and Ben–zoheth."
1045,37,1,"The sons of Shelah the son of Judah were, Er the father of Lecah, and Laadah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea,","¶The sons of Shelah the son of Judah <i>were</i>, Er the father of Lecah, and Laadah the father of Mareshah, and the families of the house of them that wrought fine linen, of the house of Ashbea,"
1046,24,0,"And Jokim, and the men of Chozeba, and Joash, and Saraph, who had the dominion in Moab, and Jashubi-lehem. And these are ancient things.","And Jokim, and the men of Chozeba, and Joash, and Saraph, who had the dominion in Moab, and Jashubi–lehem. And <i>these are</i> ancient things."
1047,21,0,"These were the potters, and those that dwelt among plants and hedges: there they dwelt with the king for his work.","These <i>were</i> the potters, and those that dwelt among plants and hedges: there they dwelt with the king for his work."
1048,12,1,"The sons of Simeon were, Nemuel, and Jamin, Jarib, Zerah, and Shaul:","¶The sons of Simeon <i>were</i>, Nemuel, and Jamin, Jarib, Zerah, <i>and</i> Shaul:"
1049,9,0,"Shallum his son, Mibsam his son, Mishma his son.","Shallum his son, Mibsam his son, Mishma his son."
