KJVWord,DictWord
anguish,anguish
aniam,
anim,
anise,anise
ankle,ankle
ankles,
anna,
annas,
anoint,anoint
anointed,anointed
anointedst,
anointest,
anointing,anointing
anon,anon
another,another
another's,
answer,answer
answerable,answerable
answered,answered
answeredst,
answerest,
answereth,
answering,answering
answers,
ant,ant
antichrist,
antichrists,
antioch,
antipas,
antipatris,
antiquity,antiquity
antothijah,
antothite,
ants,
anub,
anvil,anvil
any,any
apace,apace
apart,apart
apelles,
apes,
apharsachites,
apharsathchites,
apharsites,
aphek,
aphekah,
aphiah,
aphik,
aphrah,
aphses,
apiece,apiece
apollonia,
apollos,
apollyon,apollyon
apostle,apostle
apostles,
apostles',
apostleship,
apothecaries,
apothecaries',
apothecary,apothecary
appaim,
apparel,apparel
apparelled,
apparently,apparently
appeal,appeal
appealed,appealed
appear,appear
appearance,appearance
appearances,
appeared,
appeareth,
appearing,appearing
appease,appease
appeased,appeased
appeaseth,
appertain,appertain
appertained,
appertaineth,
appetite,appetite
apphia,
appii,
apple,apple
apples,
applied,applied
apply,apply
appoint,appoint
appointed,appointed
appointeth,
appointment,appointment
apprehend,apprehend
apprehended,apprehended
approach,approach
approached,
approacheth,
approaching,approaching
approve,approve
approved,approved
approvest,
approveth,
approving,approving
aprons,
apt,apt
aquila,aquila
ar,
ara,
arab,
arabah,
arabia,
arabian,
arabians,
arad,
arah,
aram,
aramitess,
aran,
ararat,
araunah,
arba,
arbah,
arbathite,
arbite,
archangel,archangel
archelaus,
archer,archer
archers,
arches,
archevites,
archi,
archippus,
archite,
arcturus,arcturus
ard,ard
ardites,
ardon,
are,are
areli,
arelites,
areopagite,areopagite
areopagus,areopagus
aretas,
argob,
arguing,arguing
arguments,
aridai,
aridatha,
arieh,
ariel,
aright,aright
arimathaea,
arimathaea,
arioch,
arisai,
arise,arise
ariseth,
arising,arising
aristarchus,
aristobulus',
ark,ark
arkite,arkite
arm,
armageddon,
armed,armed
armenia,armenia
armholes,
armies,
armoni,
armour,
armourbearer,
armoury,
arms,arms
army,army
arnan,
arnon,
arod,
arodi,
arodites,
aroer,
aroerite,
arose,arose
arpad,
arphad,
arphaxad,
array,array
arrayed,arrayed
arrived,
arrogancy,arrogancy
arrow,arrow
arrows,
art,art
artaxerxes,
artaxerxes',
artemas,
artificer,artificer
artificers,
artillery,artillery
arts,
aruboth,
arumah,
arvad,
arvadite,
arza,
as,as
asa,asa
asa's,
asahel,
asahiah,
asaiah,
asaph,
asaph's,
asareel,
asarelah,
ascend,ascend
ascended,ascended
ascendeth,
ascending,ascending
ascent,ascent
ascribe,ascribe
ascribed,ascribed
asenath,
aser,
ash,ash
ashamed,ashamed
ashan,
ashbea,
ashbel,
ashbelites,
ashchenaz,
ashdod,
ashdodites,
ashdoth-pisgah,
ashdothites,
asher,
asherites,
ashes,ashes
ashima,
ashkelon,
ashkenaz,
ashnah,
ashpenaz,
ashriel,
ashtaroth,
ashterathite,
ashteroth,
ashtoreth,
ashur,
ashurites,
ashvath,
asia,
aside,aside
asiel,
ask,ask
asked,asked
askelon,
askest,
asketh,
asking,asking
asleep,asleep
asnah,
asnappar,
asp,asp
aspatha,
asps,
asriel,
asrielites,
ass,ass
ass's,
assault,assault
assaulted,assaulted
assay,assay
assayed,assayed
assaying,assaying
assemble,assemble
assembled,assembled
assemblies,
assembling,assembling
assembly,assembly
assent,assent
assented,
asses,
asshur,
asshurim,
assigned,assigned
assir,
assist,assist
associate,associate
assos,
assur,
assurance,assurance
assure,assure
assured,assured
assuredly,assuredly
asswage,asswage
asswaged,
assyria,
assyrian,
assyrians,
astaroth,
astonied,
astonished,astonished
astonishment,astonishment
astray,astray
astrologer,astrologer
astrologers,
asunder,asunder
asuppim,
asyncritus,
at,at
atad,
atarah,
ataroth,
ataroth-adar,
ataroth-addar,
ate,ate
ater,
athach,
athaiah,
athaliah,
athenians,
athens,
athirst,athirst
athlai,
atonement,atonement
atonements,
atroth,
attai,
attain,attain
attained,
attalia,
attend,attend
attendance,attendance
attended,attended
attending,attending
attent,attent
attentive,attentive
attentively,attentively
attire,attire
attired,attired
audience,audience
augment,augment
augustus,
augustus',
aul,
aunt,aunt
austere,austere
author,author
authorities,
authority,authority
ava,
availeth,
aven,
avenge,
avenged,avenged
avenger,avenger
avengeth,
avenging,avenging
averse,averse
avim,
avims,
avites,
avith,
avoid,avoid
avoided,avoided
avoiding,avoiding
avouched,avouched
await,await
awake,awake
awaked,
awakest,
awaketh,
awaking,
aware,aware
away,away
awe,awe
awoke,awoke
axe,
axes,
axletrees,
azal,
azaliah,
azaniah,
azarael,
azareel,
azariah,
azaz,
azaziah,
azbuk,
azekah,
azel,
azem,
azgad,
aziel,
aziza,
azmaveth,
azmon,
aznoth-tabor,
azor,
azotus,
azriel,
azrikam,
azubah,
azur,
azzah,
azzan,
azzur,
baal,baal
baal's,
baal-berith,
baal-gad,
baal-hamon,
baal-hanan,
baal-hazor,
baal-hermon,
baal-meon,
baal-peor,
baal-perazim,
baal-shalisha,
baal-tamar,
baal-zebub,
baal-zephon,
baalah,
baalath,
baalath-beer,
baale,
baali,
baalim,
baalis,
baana,
baanah,
baara,
baaseiah,
baasha,
babbler,babbler
babbling,babbling
babblings,
babe,babe
babel,babel
babes,
babylon,
babylon's,
babylonians,
babylonish,babylonish
baca,
bachrites,
back,back
backbiters,
backbiteth,
backbiting,backbiting
backbitings,
backbone,backbone
backs,backs
backside,backside
backslider,backslider
backsliding,backsliding
backslidings,
backward,backward
bad,bad
bade,bade
badest,
badgers',
badness,badness
bag,
bags,
baharumite,
bahurim,
bajith,
bakbakkar,
bakbuk,
bakbukiah,
bake,bake
baked,baked
bakemeats,bakemeats
baken,baken
baker,baker
bakers,
bakers',
baketh,
balaam,
balaam's,
balac,
baladan,
balah,
balak,
balak's,
balance,balance
balances,
balancings,
bald,bald
baldness,baldness
ball,ball
balm,balm
bamah,
bamoth,
bamoth-baal,
band,band
banded,banded
bands,
bani,
banished,banished
banishment,banishment
bank,bank
banks,
banner,banner
banners,
banquet,banquet
banqueting,banqueting
banquetings,
baptism,baptism
baptisms,
baptist,baptist
baptist's,
baptize,baptize
baptized,baptized
baptizest,
baptizeth,
baptizing,baptizing
bar,bar
bar-jesus,
bar-jona,
barabbas,
barachel,
barachias,
barak,
barbarian,barbarian
barbarians,
barbarous,barbarous
barbed,barbed
barber's,
bare,bare
barefoot,barefoot
barest,
barhumite,
bariah,
bark,bark
barked,barked
barkos,
barley,barley
barn,barn
barnabas,
barnfloor,
barns,
barrel,barrel
barrels,
barren,barren
barrenness,barrenness
bars,
barsabas,
bartholomew,
bartimaeus,
baruch,
barzillai,
base,base
baser,
bases,
basest,
bashan,
bashan-havoth-jair,
bashemath,
basket,basket
baskets,
basmath,
bason,
basons,
bastard,bastard
bastards,bastards
bat,bat
bath,bath
bath-rabbim,
bath-sheba,
bath-shua,
bathe,bathe
bathed,bathed
baths,
bats,
battered,battered
battering,battering
battle,battle
battlement,battlement
battlements,
battles,
bavai,
bay,bay
bazlith,
bazluth,
bdellium,bdellium
be,be
beacon,beacon
bealiah,
bealoth,
beam,beam
beams,
beans,
bear,bear
beard,beard
beards,
bearers,
bearest,
beareth,
bearing,bearing
bears,
beast,beast
beast's,
beasts,
beat,beat
beaten,beaten
beatest,
beateth,
beating,beating
beauties,
beautiful,beautiful
beautify,beautify
beauty,beauty
bebai,
became,became
becamest,
because,because
becher,
bechorath,
beckoned,beckoned
beckoning,beckoning
become,become
becometh,
bed,bed
bed's,
bedad,
bedan,
bedchamber,bedchamber
bedeiah,
beds,
bedstead,bedstead
bee,bee
beeliada,
beelzebub,
been,been
beer,beer
beer-elim,
beer-lahai-roi,
beer-sheba,
beera,
beerah,
beeri,
beeroth,
beerothite,
beerothites,
bees,
beesh-terah,
beetle,
beeves,beeves
befall,befall
befallen,
befalleth,
befell,befell
before,before
beforehand,beforehand
beforetime,
beg,beg
began,
begat,
beget,beget
begettest,
begetteth,
beggar,beggar
beggarly,beggarly
begged,begged
begging,begging
begin,begin
beginnest,
beginning,beginning
beginnings,
begotten,begotten
beguile,beguile
beguiled,beguiled
beguiling,beguiling
begun,begun
behalf,behalf
behave,behave
behaved,behaved
behaveth,
behaviour,
beheaded,beheaded
beheld,beheld
behemoth,behemoth
behind,behind
behold,behold
beholdest,
beholdeth,
beholding,beholding
behoved,
being,being
bekah,
bel,
bela,
belah,
belaites,
belch,belch
belial,belial
belied,belied
belief,belief
believe,believe
believed,believed
believers,
believest,
believeth,
believing,believing
bell,bell
bellies,
bellow,bellow
bellows,bellows
bells,
belly,belly
belong,belong
belonged,
belongest,
belongeth,
belonging,belonging
beloved,beloved
beloved's,
belshazzar,
belteshazzar,
bemoan,bemoan
bemoaned,bemoaned
bemoaning,bemoaning
ben,ben
ben-ammi,
ben-hadad,
ben-hail,
ben-hanan,
ben-oni,
ben-zoheth,
benaiah,
benches,
bend,bend
bendeth,
bending,bending
bene-berak,
bene-jaakan,
beneath,beneath
benefactors,
benefit,benefit
benefits,
benevolence,benevolence
beninu,
benjamin,benjamin
benjamin's,
benjamite,
benjamites,
beno,
bent,bent
beon,
beor,
bera,
berachah,
berachiah,
beraiah,
berea,
bereave,bereave
bereaved,bereaved
bereaveth,
berechiah,
bered,
beri,
beriah,
beriites,
berites,
berith,
bernice,
berodach-baladan,
berothah,
berothai,
berothite,
berries,
beryl,beryl
besai,
beseech,beseech
beseeching,beseeching
beset,beset
beside,beside
besides,besides
besiege,besiege
besieged,besieged
besodeiah,
besom,besom
besor,
besought,besought
best,best
bestead,bestead
bestir,bestir
bestow,
bestowed,bestowed
betah,
beten,
beth-anath,
beth-anoth,
beth-arabah,
beth-aram,
beth-arbel,
beth-aven,
beth-azmaveth,
beth-baal-meon,
beth-barah,
beth-birei,
beth-car,
beth-dagon,
beth-diblathaim,
beth-el,
beth-elite,
beth-emek,
beth-ezel,
beth-gader,
beth-gamul,
beth-haccerem,
beth-haran,
beth-hogla,
beth-hoglah,
beth-horon,
beth-jeshimoth,
beth-jesimoth,
beth-lebaoth,
beth-lehem,
beth-lehem-judah,
beth-lehemite,
beth-maachah,
beth-marcaboth,
beth-meon,
beth-nimrah,
beth-palet,
beth-pazzez,
beth-peor,
beth-phelet,
beth-rapha,
beth-rehob,
beth-shan,
beth-shean,
beth-shemesh,
beth-shemite,
beth-shittah,
beth-tappuah,
beth-zur,
bethabara,
bethany,
bether,
bethesda,
bethink,
bethlehem,bethlehem
bethphage,
bethsaida,
bethuel,
bethul,
betimes,
betonim,
betray,betray
betrayed,betrayed
betrayers,
betrayest,
betrayeth,
betroth,betroth
betrothed,betrothed
better,better
bettered,bettered
between,between
betwixt,betwixt
beulah,
bewail,bewail
bewailed,bewailed
bewaileth,
beware,beware
bewitched,bewitched
bewray,bewray
bewrayeth,
beyond,beyond
bezai,
bezaleel,
bezek,
bezer,
bichri,
bid,bid
bidden,
biddeth,
bidding,bidding
bidkar,
bier,bier
bigtha,
bigthan,
bigthana,
bigvai,
bildad,
bileam,
bilgah,
bilgai,
bilhah,
bilhan,
bill,bill
billows,
bilshan,
bimhal,
bind,bind
bindeth,
binding,binding
binea,
binnui,
bird,bird
bird's,
birds,
birds',
birsha,
birth,birth
birthday,birthday
birthright,birthright
birzavith,
bishlam,
bishop,bishop
bishoprick,
bishops,
bit,bit
bite,bite
biteth,
bithiah,
bithron,
bithynia,
bits,
bitten,bitten
bitter,bitter
bitterly,bitterly
bittern,bittern
bitterness,bitterness
bizjothjah,
biztha,
black,black
blacker,
blackish,blackish
blackness,blackness
blade,blade
blains,
blame,blame
blamed,blamed
blameless,blameless
blaspheme,blaspheme
blasphemed,
blasphemer,blasphemer
blasphemers,
blasphemest,
blasphemeth,
blasphemies,
blaspheming,blaspheming
blasphemous,blasphemous
blasphemously,blasphemously
blasphemy,blasphemy
blast,blast
blasted,blasted
blasting,blasting
blastus,
blaze,blaze
bleating,bleating
bleatings,
blemish,blemish
blemishes,
bless,bless
blessed,blessed
blessedness,blessedness
blessest,
blesseth,
blessing,blessing
blessings,
blew,blew
blind,blind
blinded,blinded
blindeth,
blindfolded,blindfolded
blindness,blindness
blood,blood
bloodguiltiness,bloodguiltiness
bloodthirsty,
bloody,bloody
bloomed,
blossom,blossom
blossomed,
blossoms,
blot,blot
blotted,blotted
blotteth,
blotting,blotting
blow,blow
bloweth,
blowing,blowing
blown,blown
blue,blue
blueness,blueness
blunt,blunt
blush,blush
boanerges,
boar,boar
board,board
boards,
boast,boast
boasted,
boasters,
boastest,
boasteth,
boasting,boasting
boastings,
boat,boat
boats,
boaz,
bocheru,
bochim,
bodies,
bodily,bodily
body,body
body's,
bohan,
boil,boil
boiled,boiled
boiling,boiling
boils,
boisterous,boisterous
bold,bold
boldly,boldly
boldness,boldness
bolled,
bolster,bolster
bolt,bolt
bolted,bolted
bond,bond
bondage,bondage
bondmaid,bondmaid
bondmaids,
bondman,bondman
bondmen,
bonds,
bondservant,bondservant
bondservice,bondservice
bondwoman,
bondwomen,
bone,bone
bones,
bonnets,
book,book
books,
booth,booth
booths,
booties,
booty,booty
booz,
border,border
borders,
bore,bore
bored,bored
born,born
borne,borne
borrow,borrow
borrowed,borrowed
borrower,borrower
borroweth,
boscath,
bosom,bosom
bosor,
bosses,
botch,botch
both,both
bottle,bottle
bottles,
bottom,bottom
bottomless,bottomless
bottoms,
bough,bough
boughs,
bought,bought
bound,bound
bounds,
bountiful,bountiful
bountifully,bountifully
bountifulness,bountifulness
bounty,
bow,bow
bowed,bowed
bowels,bowels
boweth,
bowing,bowing
bowl,bowl
bowls,
bowmen,
bows,
bowshot,
box,box
boy,boy
boys,
bozez,
bozkath,
bozrah,
bracelet,bracelet
bracelets,
brake,brake
brakest,
bramble,bramble
brambles,
branch,branch
branches,
brand,brand
brandish,brandish
brands,
brasen,brasen
brass,brass
bravery,bravery
brawler,brawler
brawlers,
brawling,brawling
bray,bray
brayed,
breach,breach
breaches,
bread,bread
breadth,breadth
break,break
breaker,breaker
breakest,
breaketh,
breaking,breaking
breakings,
breast,breast
breastplate,breastplate
breastplates,
breasts,
breath,breath
breathe,breathe
breathed,breathed
breatheth,
breathing,breathing
bred,bred
breeches,breeches
breed,breed
breeding,breeding
brethren,brethren
brethren's,
bribe,bribe
bribery,bribery
bribes,
brick,brick
brickkiln,brickkiln
bricks,
bride,bride
bridechamber,bridechamber
bridegroom,bridegroom
bridegroom's,
bridle,bridle
bridles,
bridleth,
briefly,briefly
brier,brier
briers,
brigandine,brigandine
brigandines,
bright,bright
brightness,brightness
brim,brim
brimstone,brimstone
bring,bring
bringers,
bringest,
bringeth,
bringing,bringing
brink,brink
broad,broad
broader,
broided,
broidered,
broiled,broiled
broken,broken
brokenfooted,
brokenhanded,
brokenhearted,
brood,brood
brook,brook
brooks,
broth,broth
brother,brother
brother's,
brotherhood,brotherhood
brotherly,brotherly
brothers',
brought,brought
broughtest,
brow,brow
brown,brown
bruise,bruise
bruised,bruised
bruises,
bruising,bruising
bruit,bruit
brute,brute
brutish,brutish
bucket,bucket
buckets,
buckler,buckler
bucklers,
bud,bud
budded,budded
buds,
buffet,buffet
buffeted,buffeted
build,build
builded,
buildedst,
builder,builder
builders,
buildest,
buildeth,
building,building
buildings,
built,built
bukki,
bukkiah,
bul,bul
bull,bull
bullock,bullock
bullock's,
bullocks,
bulls,
bulrush,bulrush
bulrushes,
bulwarks,
bunah,
bunch,bunch
bunches,
bundle,bundle
bundles,
bunni,
burden,burden
burdened,burdened
burdens,
burdensome,burdensome
burial,burial
buried,
buriers,
burn,burn
burned,burned
burneth,
burning,burning
burnings,
burnished,burnished
burnt,burnt
burst,burst
bursting,bursting
bury,bury
burying,burying
buryingplace,
bush,bush
bushel,bushel
bushes,
bushy,bushy
busied,busied
business,business
busy,busy
busybodies,
busybody,
but,but
butler,butler
butlers,
butlership,butlership
butter,butter
buttocks,
buy,buy
buyer,buyer
buyest,
buyeth,
buz,
buzi,
buzite,
by,by
byways,
byword,
cab,cab
cabbon,
cabins,
cabul,
caesar,
caesar,
caesar's,
caesar's,
caesarea,
caesarea,
cage,cage
caiaphas,
cain,
cainan,
cake,cake
cakes,
calah,
calamities,
calamity,calamity
calamus,calamus
calcol,
caldron,caldron
caldrons,
caleb,
caleb's,
caleb-ephratah,
calf,calf
calf's,
calkers,
call,call
called,called
calledst,
callest,
calleth,
calling,calling
calm,calm
calneh,
calno,
calvary,calvary
calve,calve
calved,
calves,
calveth,
came,came
camel,camel
camel's,
camels,
camels',
camest,
camon,
camp,camp
camped,
camphire,
camps,
can,can
cana,
canaan,
canaanite,
canaanites,
canaanitess,
canaanitish,
candace,
candle,candle
candles,
candlestick,
candlesticks,
cane,cane
canker,canker
cankered,cankered
cankerworm,
canneh,
cannot,cannot
canst,
capernaum,
caphthorim,
caphtor,
caphtorim,
caphtorims,
cappadocia,
captain,captain
captains,
captive,captive
captives,
captivity,captivity
carbuncle,
carbuncles,
carcas,
carcase,
carcases,
carchemish,
care,care
careah,
cared,
careful,careful
carefully,carefully
carefulness,carefulness
careless,careless
carelessly,carelessly
cares,
carest,
careth,
caring,
carmel,
carmelite,
carmelitess,
carmi,
carmites,
carnal,carnal
carnally,carnally
carpenter,carpenter
carpenter's,
carpenters,
carpus,carpus
carriage,carriage
carriages,
carried,
carriest,
carrieth,
carry,carry
carrying,carrying
carshena,
cart,cart
carved,carved
carving,carving
carvings,
case,case
casement,casement
cases,
casiphia,
casluhim,
cassia,cassia
cast,cast
castaway,castaway
castedst,
castest,
casteth,
casting,casting
castle,
castles,
castor,castor
catch,catch
catcheth,
caterpiller,
caterpillers,
cattle,cattle
caught,caught
caul,caul
cauls,
cause,cause
caused,caused
causeless,causeless
causes,
causest,
causeth,
causeway,
causing,causing
cave,cave
cave's,
caves,
cease,cease
ceased,
ceaseth,
ceasing,ceasing
cedar,cedar
cedars,
cedron,
celebrate,celebrate
celestial,celestial
cellars,
cenchrea,
censer,censer
censers,
centurion,
centurion's,
centurions,
cephas,
ceremonies,
certain,certain
certainly,certainly
certainty,certainty
certified,certified
certify,certify
chafed,chafed
chaff,chaff
chain,chain
chains,
chalcedony,chalcedony
chalcol,
chaldaeans,
chaldea,
chaldean,chaldean
chaldeans,
chaldeans',
chaldees,
chaldees',
chalkstones,
challengeth,
chamber,chamber
chambering,chambering
chamberlain,chamberlain
chamberlains,
chambers,
chameleon,chameleon
chamois,chamois
champaign,
champion,champion
chanaan,
chance,chance
chancellor,chancellor
chanceth,
change,change
changeable,changeable
changed,changed
changers,
changers',
changes,
changest,
changeth,
changing,changing
channel,channel
channels,
chant,chant
chapel,chapel
chapiter,chapiter
chapiters,
chapmen,
chapt,
charashim,
charge,charge
chargeable,chargeable
charged,charged
chargedst,
charger,charger
chargers,
charges,
chargest,
charging,charging
chariot,chariot
chariots,
charitably,charitably
charity,charity
charmed,charmed
charmer,charmer
charmers,
charming,charming
charran,
chase,chase
chased,chased
chaseth,
chasing,chasing
chaste,chaste
chasten,chasten
chastened,chastened
chastenest,
chasteneth,
chastening,chastening
chastise,chastise
chastised,chastised
chastisement,chastisement
chastiseth,
chatter,chatter
chebar,
check,check
checker,checker
chedorlaomer,
cheek,cheek
cheeks,
cheer,cheer
cheereth,
cheerful,cheerful
cheerfully,cheerfully
cheerfulness,cheerfulness
cheese,cheese
cheeses,
chelal,
chelluh,
chelub,
chelubai,
chemarims,
chemosh,
chenaanah,
chenani,
chenaniah,
chephar-haammonai,
chephirah,
cheran,
cherethims,
cherethites,
cherish,cherish
cherished,cherished
cherisheth,
cherith,
cherub,cherub
cherubims,
cherubims',
chesalon,
chesed,
chesil,
chesnut,
chest,chest
chests,
chesulloth,
chew,chew
chewed,chewed
cheweth,
chezib,
chickens,
chide,chide
chiding,chiding
chidon,
chief,chief
chiefest,
chiefly,chiefly
child,child
child's,
childbearing,
childhood,childhood
childish,childish
childless,
children,children
children's,
chileab,
chilion,
chilion's,
chilmad,
chimham,
chimney,chimney
chinnereth,
chinneroth,
chios,
chisleu,chisleu
chislon,
chisloth-tabor,
chittim,
chiun,
chloe,
chode,chode
choice,choice
choicest,
choke,choke
choked,choked
choler,choler
choose,choose
choosest,
chooseth,
choosing,choosing
chop,chop
chor-ashan,
chorazin,
chose,chose
chosen,chosen
chozeba,
christ,christ
christ's,
christian,christian
christians,
christs,
chronicles,
chrysolite,chrysolite
chrysoprasus,
chub,chub
chun,
church,church
churches,
churl,churl
churlish,churlish
churning,churning
chushan-rishathaim,
chuza,
cieled,
cieling,
cilicia,
cinnamon,cinnamon
cinneroth,
circle,circle
circuit,circuit
circuits,
circumcise,circumcise
circumcised,
circumcising,
circumcision,
circumspect,circumspect
circumspectly,circumspectly
cis,
cistern,cistern
cisterns,
cities,
citizen,citizen
citizens,
city,city
clad,clad
clamorous,clamorous
clamour,
clap,clap
clapped,clapped
clappeth,
clauda,
claudia,
claudius,
clave,clave
claws,
clay,clay
clean,clean
cleanness,cleanness
cleanse,cleanse
cleansed,cleansed
